Address,City,SquareFootage,Acreage,AskingPrice,SalePrice,SaleDate,Agent
26922 Broad Street,St. Matthews,"3,292",0.7,"$499,798.63 ","$434,874.79 ",8/29/2020,Kaitlynn Oconnor
75729 Glenwood Drive,St. Matthews,"2,717",0.8,"$348,532.80 ","$305,210.17 ",3/28/2020,Timothy Case
72093 Canal Street,Jeffersontown,"4,117",0.5,"$561,036.81 ","$480,808.54 ",4/18/2020,Judith Moreno
94496 Route 32,St. Matthews,"1,123",0.6,"$203,234.51 ","$168,420.44 ",3/3/2020,Deven Payne
67966 Main Street North,Louisville,"9,938",0.8,"$1,044,091.92 ","$979,567.04 ",5/8/2020,Eliana Baker
29269 6th Street,Louisville,"1,238",0.5,"$200,375.95 ","$169,498.01 ",8/1/2020,Deven Payne
92734 Willow Drive,Florence,"2,881",0.3,"$348,404.38 ","$296,317.92 ",7/27/2020,Priscilla Jackson
10965 Oak Street,St. Matthews,"2,833",0.5,"$330,672.56 ","$290,462.78 ",8/28/2020,Eliana Baker
22428 Durham Court,Jeffersontown,"2,126",0.2,"$299,930.87 ","$269,667.85 ",1/26/2020,Trevon Lutz
77445 Cedar Court,Jeffersontown,"1,652",0.6,"$206,772.66 ","$179,954.24 ",10/2/2020,Evelyn Everett
16491 Primrose Lane,Florence,"1,778",0.2,"$256,211.77 ","$228,925.22 ",2/23/2020,Tristan Blevins
28939 Elizabeth Street,Florence,"2,622",6.8,"$722,776.45 ","$588,340.03 ",3/26/2020,Hazel Richardson
78335 Ashley Court,Florence,"2,275",0.6,"$380,368.18 ","$314,488.41 ",4/15/2020,Deven Payne
72588 Country Club Road,Jeffersontown,"9,922",0.8,"$1,325,395.38 ","$1,245,739.12 ",12/23/2020,Payton Evans
69911 Aspen Court,Georgetown,"3,195",0.9,"$510,620.03 ","$415,236.21 ",2/27/2020,Timothy Case
17484 Edgewood Road,Louisville,"6,790",0.6,"$863,190.19 ","$724,130.25 ",11/18/2020,Timothy Case
95923 Mulberry Court,Richmond,"1,513",0.1,"$183,558.28 ","$174,215.16 ",1/5/2020,Eliana Baker
87356 8th Street,St. Matthews,"2,891",0.9,"$430,456.94 ","$415,347.90 ",4/9/2020,Hazel Richardson
53395 Bridle Court,Erlanger,"2,922",0.6,"$363,070.90 ","$328,506.55 ",9/8/2020,Trevon Lutz
22138 Liberty Street,Lexington,"2,685",8.9,"$867,125.43 ","$784,488.37 ",9/22/2020,Timothy Case
89953 Garden Street,Richmond,"1,519",0.8,"$235,031.03 ","$220,036.05 ",8/17/2020,Deven Payne
99092 Highland Avenue,Erlanger,"1,643",0.3,"$190,489.55 ","$155,877.60 ",3/20/2020,Deven Payne
24680 Pleasant Street,Richmond,"1,781",1,"$271,825.00 ","$248,828.60 ",8/16/2020,Payton Evans
86859 Linden Avenue,Lexington,"1,429",0.9,"$226,285.80 ","$218,297.91 ",10/22/2020,Priscilla Jackson
98749 Jefferson Court,Florence,"1,541",10,"$781,520.48 ","$649,677.97 ",5/21/2020,Timothy Case
51378 East Street,St. Matthews,"2,724",0.4,"$352,280.77 ","$307,752.48 ",7/22/2020,Judith Moreno
76755 Church Street,Louisville,"2,013",0.9,"$280,808.66 ","$253,149.01 ",10/21/2020,Tristan Blevins
14614 Sycamore Street,Frankfort,"1,714",0.9,"$219,111.10 ","$190,626.66 ",3/5/2020,Hazel Richardson
34042 Canterbury Road,Covington,"1,407",1,"$222,006.98 ","$214,969.36 ",8/13/2020,Ivan Cordova
50203 Strawberry Lane,Lexington,"1,964",0.4,"$292,900.14 ","$263,844.45 ",7/5/2020,Timothy Case
64105 Clinton Street,Nicholasville,"7,485",6.2,"$1,099,477.49 ","$1,081,116.21 ",10/16/2020,Judith Moreno
18881 West Avenue,Lexington,"1,219",0.6,"$192,930.30 ","$158,067.79 ",7/12/2020,Kaitlynn Oconnor
90586 George Street,Jeffersontown,"1,158",0.5,"$212,532.16 ","$203,010.72 ",1/1/2020,Tristan Blevins
40086 2nd Street East,Covington,"2,896",0.3,"$331,103.09 ","$312,031.56 ",8/3/2020,Judith Moreno
31965 Church Street South,Florence,"2,426",0.8,"$400,924.49 ","$325,510.59 ",10/19/2020,Trevon Lutz
89007 Cooper Street,Louisville,"1,983",0.8,"$320,257.20 ","$274,908.78 ",3/17/2020,Eliana Baker
28679 Circle Drive,St. Matthews,"1,019",0.4,"$151,545.61 ","$144,726.06 ",8/17/2020,Judith Moreno
64661 5th Street North,Lexington,"2,475",0.6,"$366,559.18 ","$299,222.26 ",11/10/2020,Ivan Cordova
83221 Old York Road,Richmond,"1,409",0.1,"$204,933.77 ","$173,251.01 ",10/28/2020,Deven Payne
21673 Holly Court,Louisville,"2,693",0.1,"$331,282.14 ","$274,831.66 ",9/1/2020,Ivan Cordova
15096 Crescent Street,Jeffersontown,"2,234",0.2,"$235,735.01 ","$201,482.71 ",10/18/2020,Trevon Lutz
85888 Summit Street,Covington,"1,046",3,"$311,965.71 ","$286,914.87 ",4/19/2020,Trevon Lutz
75510 Hawthorne Avenue,Jeffersontown,"1,444",19.9,"$1,355,739.21 ","$1,151,971.61 ",10/23/2020,Judith Moreno
79626 North Street,Lexington,"2,944",0.4,"$426,052.20 ","$384,810.35 ",2/21/2020,Hazel Richardson
94469 Arch Street,Jeffersontown,"2,563",0.7,"$321,969.92 ","$263,950.94 ",11/13/2020,Deven Payne
76569 Parker Street,Lexington,"2,522",0.2,"$311,145.12 ","$255,947.98 ",3/16/2020,Priscilla Jackson
84136 Cherry Street,Jeffersontown,"3,770",0.3,"$498,865.01 ","$449,876.47 ",5/23/2020,Tristan Blevins
19023 John Street,Florence,"1,771",0.6,"$302,289.44 ","$265,077.61 ",5/16/2020,Tristan Blevins
46755 Ivy Court,Covington,"2,914",11.4,"$1,300,814.56 ","$1,179,188.39 ",8/3/2020,Priscilla Jackson
77891 Green Street,Louisville,"2,152",0.2,"$319,177.44 ","$309,634.03 ",5/23/2020,Hazel Richardson
26747 Oxford Road,Georgetown,"2,054",0.9,"$293,308.88 ","$268,612.27 ",4/22/2020,Tristan Blevins
99124 Euclid Avenue,Nicholasville,"2,186",0.3,"$240,193.16 ","$236,878.49 ",1/31/2020,Kaitlynn Oconnor
62995 York Road,Lexington,"2,569",0.8,"$358,786.73 ","$322,441.64 ",8/1/2020,Judith Moreno
93603 Cedar Street,Florence,"1,835",0.2,"$201,286.42 ","$179,789.03 ",3/28/2020,Trevon Lutz
97829 4th Street South,Georgetown,"2,260",0.5,"$369,956.85 ","$338,510.52 ",11/28/2020,Judith Moreno
28288 8th Avenue,Florence,"1,990",0.7,"$255,502.98 ","$230,744.74 ",4/3/2020,Priscilla Jackson
64260 Jones Street,Louisville,"1,871",0.3,"$289,159.33 ","$253,563.82 ",7/9/2020,Payton Evans
48895 Surrey Lane,Covington,"1,787",0.5,"$298,126.79 ","$252,453.77 ",2/7/2020,Timothy Case
23305 12th Street East,Nicholasville,"1,003",0.6,"$137,252.50 ","$134,603.53 ",7/10/2020,Timothy Case
21774 Rosewood Drive,Louisville,"2,639",0.6,"$357,033.15 ","$337,289.22 ",4/18/2020,Timothy Case
71135 Locust Lane,Covington,"1,615",0.5,"$200,988.96 ","$169,011.62 ",1/10/2020,Timothy Case
20192 Park Street,Lexington,"2,372",0.4,"$369,378.35 ","$356,523.98 ",5/29/2020,Timothy Case
66160 Ridge Road,Louisville,"1,621",27.9,"$2,445,852.30 ","$2,192,217.42 ",11/27/2020,Timothy Case
44906 Oxford Court,Florence,"2,754",0.3,"$345,803.04 ","$325,919.37 ",1/31/2020,Deven Payne
33007 School Street,Louisville,"1,463",1,"$260,573.37 ","$246,762.98 ",7/7/2020,Tristan Blevins
59434 Hillside Drive,Florence,"8,009",25.9,"$2,989,060.47 ","$2,541,897.02 ",6/11/2020,Trevon Lutz
93066 Union Street,Richmond,"2,756",0.5,"$334,796.04 ","$310,623.77 ",10/16/2020,Deven Payne
29827 Laurel Street,Georgetown,"2,139",0.2,"$235,844.04 ","$219,429.30 ",6/22/2020,Eliana Baker
70197 Grove Avenue,Georgetown,"2,800",0.5,"$454,562.43 ","$452,744.18 ",5/8/2020,Deven Payne
30641 Inverness Drive,Richmond,"9,016",0.3,"$970,620.80 ","$862,784.83 ",4/17/2020,Payton Evans
22048 White Street,Georgetown,"2,466",0.2,"$387,808.05 ","$347,941.38 ",2/27/2020,Hazel Richardson
17370 Fulton Street,Jeffersontown,"2,131",0.2,"$328,867.33 ","$303,149.90 ",6/4/2020,Hazel Richardson
24804 Fairview Road,Jeffersontown,"1,494",1,"$276,696.01 ","$225,064.53 ",11/7/2020,Evelyn Everett
19600 Victoria Court,Frankfort,"2,236",0.4,"$325,551.40 ","$293,159.04 ",7/10/2020,Deven Payne
85256 3rd Street North,Richmond,"1,738",0.3,"$238,996.23 ","$224,393.56 ",4/3/2020,Trevon Lutz
22461 Grant Street,Covington,"1,916",0.9,"$354,041.97 ","$345,792.79 ",2/25/2020,Payton Evans
98357 Hillcrest Avenue,Florence,"1,928",0.2,"$273,503.40 ","$235,623.18 ",9/25/2020,Timothy Case
49505 Howard Street,Erlanger,"4,825",0.4,"$528,084.74 ","$492,227.78 ",6/10/2020,Ivan Cordova
82652 Essex Court,Louisville,"1,768",15.5,"$1,285,035.17 ","$1,047,046.66 ",6/25/2020,Deven Payne
92380 Willow Street,Jeffersontown,"1,872",9.4,"$712,019.04 ","$706,251.69 ",3/28/2020,Tristan Blevins
67933 Route 11,Jeffersontown,"1,511",0.2,"$231,620.44 ","$224,833.96 ",1/13/2020,Deven Payne
67733 Route 41,Richmond,"1,326",0.9,"$265,226.07 ","$236,369.47 ",3/9/2020,Timothy Case
38163 Mechanic Street,Florence,"2,642",0.2,"$330,022.43 ","$302,003.53 ",7/31/2020,Tristan Blevins
64073 4th Street North,Erlanger,"1,989",0.4,"$284,424.97 ","$263,661.95 ",9/27/2020,Tristan Blevins
89108 5th Street West,Covington,"1,277",0.4,"$218,169.88 ","$188,106.07 ",11/13/2020,Tristan Blevins
43537 Hillside Avenue,Jeffersontown,"2,271",12.9,"$961,740.81 ","$930,676.58 ",2/10/2020,Deven Payne
49365 Hamilton Street,Louisville,"1,086",0.2,"$133,570.94 ","$133,477.44 ",6/30/2020,Trevon Lutz
64103 Overlook Circle,Covington,"1,927",0.2,"$303,579.32 ","$257,678.13 ",9/19/2020,Eliana Baker
78079 Buttonwood Drive,Louisville,"1,955",0.4,"$322,662.41 ","$266,422.35 ",6/13/2020,Hazel Richardson
29139 College Avenue,Georgetown,"1,487",0.2,"$180,459.62 ","$170,750.89 ",12/11/2020,Tristan Blevins
29206 Lawrence Street,St. Matthews,"2,947",0.8,"$346,366.63 ","$325,099.72 ",4/12/2020,Tristan Blevins
85034 Spruce Street,Lexington,"2,596",0.8,"$390,106.95 ","$374,697.73 ",1/4/2020,Judith Moreno
42536 Route 9,Louisville,"3,460",0.5,"$403,313.79 ","$381,776.83 ",3/18/2020,Trevon Lutz
83827 Cherry Lane,Georgetown,"1,683",0.8,"$255,220.01 ","$247,767.59 ",3/25/2020,Priscilla Jackson
18899 Queen Street,Lexington,"5,308",0.2,"$664,379.43 ","$556,617.09 ",12/24/2020,Judith Moreno
71353 Adams Avenue,St. Matthews,"9,721",0.3,"$1,249,495.64 ","$1,237,000.69 ",3/21/2020,Trevon Lutz
29646 Schoolhouse Lane,Covington,"1,649",0.8,"$220,523.63 ","$208,350.72 ",1/14/2020,Deven Payne
99689 Redwood Drive,Louisville,"1,269",0.9,"$257,447.61 ","$243,699.91 ",1/26/2020,Trevon Lutz
78409 Route 1,Lexington,"6,900",0.9,"$836,117.80 ","$752,756.86 ",3/15/2020,Deven Payne
71957 Park Drive,St. Matthews,"2,264",0.5,"$287,864.80 ","$279,545.51 ",2/13/2020,Trevon Lutz
30007 Franklin Street,Nicholasville,"1,376",0.4,"$199,845.65 ","$187,894.88 ",7/6/2020,Judith Moreno
40348 Riverside Drive,Louisville,"2,844",0.8,"$343,556.27 ","$330,226.29 ",11/18/2020,Tristan Blevins
63872 Heritage Drive,Louisville,"7,079",0.6,"$990,964.86 ","$939,335.59 ",9/29/2020,Deven Payne
76254 Lincoln Street,Louisville,"1,433",1,"$195,669.17 ","$160,937.89 ",3/17/2020,Eliana Baker
29762 Maple Street,Georgetown,"1,958",0.3,"$230,562.64 ","$204,555.17 ",6/29/2020,Kaitlynn Oconnor
88642 Highland Drive,Florence,"2,277",0.5,"$285,692.42 ","$242,238.61 ",2/8/2020,Priscilla Jackson
88654 5th Street East,Georgetown,"2,255",0.4,"$256,827.59 ","$219,253.71 ",6/18/2020,Deven Payne
90215 Walnut Avenue,Covington,"2,613",0.4,"$316,535.81 ","$310,679.90 ",10/10/2020,Deven Payne
73928 Chestnut Avenue,Jeffersontown,"2,131",0.5,"$325,147.85 ","$305,086.23 ",11/2/2020,Kaitlynn Oconnor
87430 Cedar Avenue,Frankfort,"3,740",0.7,"$486,282.48 ","$428,706.63 ",1/27/2020,Evelyn Everett
69954 Devon Court,Louisville,"2,499",0.3,"$322,088.79 ","$268,622.05 ",6/30/2020,Priscilla Jackson
34599 B Street,Lexington,"1,503",0.4,"$223,771.80 ","$200,633.80 ",5/23/2020,Kaitlynn Oconnor
33031 Laurel Drive,Georgetown,"2,560",0.9,"$440,914.00 ","$430,464.34 ",12/14/2020,Deven Payne
99991 Route 64,Louisville,"7,622",0.8,"$855,906.95 ","$720,673.65 ",8/1/2020,Deven Payne
51037 Church Road,Jeffersontown,"1,786",0.9,"$327,877.41 ","$267,449.60 ",12/15/2020,Trevon Lutz
30874 Market Street,St. Matthews,"1,621",0.2,"$231,073.64 ","$219,519.96 ",9/20/2020,Priscilla Jackson
51434 Route 100,St. Matthews,"2,770",0.1,"$321,416.10 ","$316,723.42 ",7/5/2020,Payton Evans
73661 Central Avenue,Lexington,"2,029",0.7,"$328,416.69 ","$299,647.38 ",12/3/2020,Evelyn Everett
83297 Front Street North,Louisville,"2,305",0.7,"$272,389.87 ","$260,214.04 ",12/18/2020,Payton Evans
34595 Oak Avenue,Erlanger,"5,712",0.9,"$717,527.25 ","$678,637.28 ",11/9/2020,Tristan Blevins
10754 Court Street,Georgetown,"2,183",0.4,"$256,846.10 ","$245,365.07 ",3/8/2020,Judith Moreno
12259 12th Street,St. Matthews,"1,683",5.1,"$565,663.99 ","$528,613.00 ",8/5/2020,Judith Moreno
20498 Sycamore Lane,Covington,"2,513",0.4,"$318,506.22 ","$309,396.94 ",8/6/2020,Timothy Case
52625 Canterbury Court,Jeffersontown,"4,624",0.9,"$521,742.12 ","$513,915.99 ",6/25/2020,Priscilla Jackson
77674 Locust Street,Erlanger,"1,178",0.2,"$133,626.43 ","$128,909.42 ",9/17/2020,Timothy Case
26427 Water Street,Florence,"2,048",0.1,"$284,294.17 ","$284,038.31 ",12/7/2020,Trevon Lutz
27674 Beechwood Drive,Covington,"2,804",0.8,"$462,126.93 ","$437,218.29 ",8/25/2020,Deven Payne
46566 Route 30,Lexington,"1,064",0.9,"$200,696.43 ","$182,894.65 ",5/14/2020,Kaitlynn Oconnor
12065 Adams Street,Florence,"9,171",0.7,"$1,160,020.44 ","$1,152,248.30 ",2/27/2020,Judith Moreno
65993 Columbia Street,Nicholasville,"1,233",0.5,"$225,934.78 ","$190,146.71 ",2/16/2020,Hazel Richardson
40457 Henry Street,Jeffersontown,"1,942",0.7,"$276,947.83 ","$237,316.59 ",8/11/2020,Hazel Richardson
75822 Chestnut Street,Georgetown,"2,639",0.6,"$297,598.49 ","$263,672.26 ",12/15/2020,Tristan Blevins
49788 Brandywine Drive,St. Matthews,"6,296",0.6,"$816,419.73 ","$782,619.96 ",12/25/2020,Deven Payne
98735 Hill Street,St. Matthews,"2,079",0.2,"$235,810.49 ","$233,475.97 ",5/6/2020,Trevon Lutz
16366 Garfield Avenue,Florence,"2,334",0.9,"$317,098.22 ","$265,220.95 ",1/23/2020,Priscilla Jackson
93967 Jefferson Street,Florence,"1,660",0.4,"$216,014.04 ","$187,392.18 ",11/22/2020,Tristan Blevins
69992 Ridge Avenue,St. Matthews,"2,328",0.8,"$337,766.76 ","$303,145.67 ",12/15/2020,Tristan Blevins
34763 6th Avenue,Covington,"1,956",0.9,"$357,292.86 ","$344,823.34 ",4/6/2020,Timothy Case
87720 Route 10,Florence,"3,877",0.7,"$446,526.08 ","$357,220.86 ",7/4/2020,Deven Payne
91349 Creek Road,Florence,"2,638",0.5,"$361,516.63 ","$337,548.08 ",3/31/2020,Eliana Baker
22871 Poplar Street,Lexington,"4,611",1,"$685,154.16 ","$682,139.48 ",11/29/2020,Trevon Lutz
69620 Lake Street,Georgetown,"2,086",0.4,"$268,983.41 ","$254,861.78 ",10/20/2020,Eliana Baker
11434 Smith Street,Louisville,"1,212",0.6,"$164,957.85 ","$155,588.24 ",8/2/2020,Timothy Case
96290 Sunset Avenue,Lexington,"2,496",0.3,"$288,328.74 ","$286,771.76 ",8/6/2020,Deven Payne
37491 Briarwood Drive,Lexington,"1,284",0.8,"$194,517.68 ","$165,476.19 ",1/17/2020,Tristan Blevins
65038 2nd Street,Nicholasville,"2,716",0.3,"$373,451.73 ","$317,620.70 ",9/4/2020,Eliana Baker
96841 Route 29,Louisville,"2,913",0.6,"$445,832.39 ","$359,831.32 ",3/8/2020,Timothy Case
84223 Mulberry Street,Richmond,"1,525",0.6,"$257,333.83 ","$235,563.39 ",4/29/2020,Timothy Case
38495 Sycamore Drive,Richmond,"2,909",1,"$401,169.66 ","$398,120.77 ",10/9/2020,Deven Payne
85442 State Street East,Florence,"1,712",0.8,"$217,485.99 ","$174,815.24 ",6/29/2020,Priscilla Jackson
34853 Route 6,Louisville,"2,136",0.4,"$297,511.89 ","$249,344.72 ",3/3/2020,Timothy Case
38120 Valley Drive,Louisville,"2,009",0.9,"$353,061.01 ","$314,153.69 ",3/29/2020,Trevon Lutz
14445 Broad Street West,Lexington,"9,167",22.1,"$2,618,824.54 ","$2,585,303.59 ",12/14/2020,Payton Evans
52013 Maple Avenue,St. Matthews,"1,217",0.4,"$180,929.83 ","$178,469.18 ",10/2/2020,Eliana Baker
46871 Spruce Avenue,Erlanger,"2,361",0.8,"$401,164.83 ","$338,101.72 ",3/19/2020,Tristan Blevins
45209 Cambridge Road,Florence,"7,851",0.2,"$906,432.35 ","$734,844.70 ",5/1/2020,Deven Payne
75090 Devonshire Drive,Florence,"2,948",6,"$904,036.58 ","$855,309.01 ",2/26/2020,Timothy Case
18501 Warren Avenue,Nicholasville,"2,785",0.9,"$394,648.79 ","$388,097.62 ",11/27/2020,Hazel Richardson
15535 Jefferson Avenue,Frankfort,"1,393",0.2,"$165,255.89 ","$151,737.96 ",11/3/2020,Hazel Richardson
91835 Cottage Street,Louisville,"6,030",0.4,"$863,119.27 ","$753,330.50 ",4/30/2020,Tristan Blevins
50946 Deerfield Drive,Louisville,"1,388",0.1,"$208,464.21 ","$176,006.33 ",8/16/2020,Payton Evans
83814 Front Street South,Jeffersontown,"2,348",0.8,"$393,766.13 ","$343,600.33 ",2/7/2020,Timothy Case
38028 Woodland Avenue,Richmond,"1,002",0.2,"$154,313.25 ","$139,607.20 ",10/18/2020,Trevon Lutz
86483 Evergreen Lane,Jeffersontown,"2,309",0.2,"$286,662.81 ","$239,564.11 ",9/27/2020,Payton Evans
45617 Race Street,Lexington,"7,724",27.4,"$3,230,046.18 ","$3,194,515.68 ",8/27/2020,Tristan Blevins
77202 Lafayette Avenue,Louisville,"1,531",23.5,"$1,507,731.75 ","$1,295,895.44 ",10/5/2020,Hazel Richardson
21069 Main Street West,Louisville,"2,939",0.3,"$347,064.22 ","$281,017.90 ",2/19/2020,Timothy Case
72391 Route 17,Jeffersontown,"2,722",0.7,"$358,673.26 ","$347,877.20 ",3/31/2020,Deven Payne
63645 Berkshire Drive,Louisville,"2,118",0.8,"$273,888.01 ","$222,314.90 ",1/21/2020,Deven Payne
28413 Valley View Road,Louisville,"1,828",0.9,"$271,121.27 ","$218,876.20 ",3/1/2020,Deven Payne
77010 Ridge Street,Florence,"1,221",0.6,"$177,350.90 ","$149,187.58 ",6/15/2020,Timothy Case
78515 Glenwood Avenue,Erlanger,"2,354",0.3,"$368,914.87 ","$316,160.04 ",3/26/2020,Hazel Richardson
41913 Linda Lane,Florence,"1,562",0.4,"$189,424.22 ","$158,055.57 ",11/23/2020,Timothy Case
42442 Durham Road,St. Matthews,"1,381",0.2,"$204,283.50 ","$188,962.24 ",2/24/2020,Trevon Lutz
26118 Eagle Street,Richmond,"1,835",17.5,"$1,345,722.06 ","$1,133,367.12 ",9/1/2020,Tristan Blevins
71830 Homestead Drive,Richmond,"1,362",0.7,"$207,895.91 ","$196,815.06 ",11/9/2020,Timothy Case
42503 11th Street,Lexington,"1,097",0.8,"$187,603.29 ","$182,969.49 ",1/2/2020,Trevon Lutz
78096 Penn Street,Jeffersontown,"2,960",0.8,"$504,637.10 ","$488,488.71 ",9/26/2020,Hazel Richardson
56743 Arlington Avenue,Lexington,"2,424",0.6,"$295,711.41 ","$280,925.84 ",2/13/2020,Trevon Lutz
57398 Route 202,Lexington,"1,032",0.3,"$145,258.49 ","$123,426.14 ",10/15/2020,Deven Payne
50460 Rose Street,Frankfort,"4,747",0.2,"$697,431.53 ","$672,602.97 ",5/23/2020,Deven Payne
13760 Wood Street,Jeffersontown,"1,553",0.3,"$208,349.12 ","$181,680.43 ",12/22/2020,Deven Payne
92633 Railroad Street,Lexington,"2,821",3.9,"$666,643.94 ","$541,914.86 ",8/30/2020,Deven Payne
38451 Windsor Drive,Florence,"2,401",0.8,"$343,779.36 ","$322,190.02 ",4/5/2020,Tristan Blevins
91190 Vine Street,Jeffersontown,"1,917",0.2,"$254,652.95 ","$225,011.34 ",12/20/2020,Kaitlynn Oconnor
47320 Forest Drive,Louisville,"2,830",0.5,"$427,073.74 ","$380,608.11 ",4/7/2020,Tristan Blevins
88417 Andover Court,Florence,"2,065",0.3,"$322,956.23 ","$301,705.71 ",4/11/2020,Ivan Cordova
24511 Manor Drive,Louisville,"2,604",0.3,"$322,607.67 ","$321,994.72 ",3/24/2020,Ivan Cordova
90614 Clark Street,Louisville,"2,646",19,"$1,280,646.23 ","$1,038,091.83 ",2/24/2020,Trevon Lutz
62697 7th Street,Covington,"1,698",0.5,"$291,499.71 ","$253,342.40 ",5/31/2020,Hazel Richardson
28874 Myrtle Street,St. Matthews,"2,368",0.8,"$407,446.84 ","$373,954.71 ",1/11/2020,Judith Moreno
82229 Morris Street,Jeffersontown,"1,609",0.4,"$196,072.83 ","$190,229.86 ",11/10/2020,Priscilla Jackson
61870 Oak Lane,Lexington,"1,876",0.7,"$248,723.15 ","$208,504.62 ",5/11/2020,Tristan Blevins
15249 Summer Street,Jeffersontown,"1,788",27.2,"$1,838,121.75 ","$1,791,433.46 ",6/18/2020,Timothy Case
96470 Elmwood Avenue,Lexington,"9,134",0.8,"$1,032,935.66 ","$842,668.91 ",10/22/2020,Hazel Richardson
83206 Willow Lane,St. Matthews,"2,668",21.1,"$1,429,285.07 ","$1,174,443.54 ",7/18/2020,Hazel Richardson
50759 Linden Street,Jeffersontown,"1,538",0.7,"$265,749.90 ","$259,690.80 ",5/23/2020,Trevon Lutz
89277 River Road,Jeffersontown,"2,846",0.6,"$369,592.69 ","$334,296.58 ",10/12/2020,Payton Evans
48725 Lakeview Drive,Louisville,"1,286",0.9,"$250,257.17 ","$208,314.07 ",7/14/2020,Deven Payne
35167 Forest Avenue,Erlanger,"1,552",0.9,"$218,128.57 ","$177,185.83 ",2/17/2020,Deven Payne
36468 Hilltop Road,Richmond,"1,855",0.9,"$318,844.47 ","$306,568.96 ",2/17/2020,Ivan Cordova
84735 5th Avenue,St. Matthews,"4,287",0.7,"$608,535.60 ","$555,836.42 ",12/17/2020,Timothy Case
54284 Myrtle Avenue,Florence,"6,239",0.8,"$765,035.99 ","$737,724.20 ",8/10/2020,Hazel Richardson
77166 Main Street South,Jeffersontown,"1,572",0.2,"$186,690.82 ","$185,682.69 ",8/24/2020,Hazel Richardson
81619 Charles Street,Jeffersontown,"2,966",0.2,"$314,982.56 ","$314,699.07 ",8/20/2020,Payton Evans
60868 Grant Avenue,St. Matthews,"1,604",0.4,"$204,987.35 ","$169,381.05 ",7/27/2020,Kaitlynn Oconnor
67748 Washington Avenue,Covington,"9,653",5.7,"$1,368,661.29 ","$1,169,794.80 ",8/12/2020,Tristan Blevins
77022 Beech Street,Georgetown,"1,658",0.8,"$241,664.27 ","$193,645.58 ",3/24/2020,Deven Payne
